timestamp,book_d_v1,book_d_v2,book_imbalance_v1,book_imbalance_v2,mid_price,mean_price
00:00.0,-0.03981306000000018,-1336633.521600008,-0.006456290289786175,-0.0056206792341141,38572500.0,38565600.0
00:00.1,-1.57508607,-60584186.06965001,-0.3395594541988916,-0.3394698498925665,38477500.0,38474600.0
00:00.2,-0.8225233400000005,-32244158.274030015,-0.17832865698400552,-0.17936810845584966,38854000.0,38852650.0
00:00.3,-0.47439203,-18540208.809620004,-0.4079205765981991,-0.4076774843722908,39114000.0,39111100.0
00:00.4,0.25357604000000133,9566745.070150048,0.027274709569553617,0.026678038041040242,38571000.0,38573450.0
00:00.5,5.3765107400000005,211403874.91178995,0.5294457596197252,0.5332579974765438,38895000.0,38891700.0
00:00.6,4.206510679999998,161529032.18008003,0.3203537756804708,0.31906244524321054,38713000.0,38637300.0
00:00.7,0.68562492,26834021.10436,0.36468076061897303,0.3648212374534205,39122000.0,39122400.0
00:00.8,1.18925591,46490386.47772,0.7312655658333272,0.7313871735179382,39075500.0,39078200.0
00:00.9,9.297156550000002,361798272.0445201,0.6078477192106636,0.6076769276635627,38856000.0,38941450.0
00:01.1,-1.8418018000000003,-70892934.44212002,-0.4219897899374546,-0.4213477462865833,38572000.0,38565000.0
00:01.2,-2.4942859599999996,-96611814.96370997,-0.2694285842642343,-0.26949386282089755,38806500.0,38727500.0
00:01.3,-0.47439203,-18540208.809620004,-0.4079205765981991,-0.4076774843722908,39114000.0,39111100.0
00:01.4,-2.3925553099999997,-92360576.80464,-0.5153203702833189,-0.5149527724692368,38633000.0,38639500.0
00:01.5,1.588265700000001,61136368.12186001,0.21845526556561157,0.21815650068639106,38558500.0,38560650.0
00:01.6,6.827800179999999,267265080.94101006,0.5630176025562947,0.5647976438368374,38753000.0,38868066.666666664
00:01.7,4.73828248,182565573.91608006,0.4588011841996418,0.45832172937327,38750500.0,38745700.0
00:01.9,9.79972843,381209757.57241,0.6226786966348226,0.6224494260288705,38855500.0,38933475.0
00:02.0,1.3617179,53278214.35453,0.6905399891892382,0.6907017712109498,39110000.0,39108100.0
00:02.1,-1.41746319,-54510653.31136001,-0.29300625880309006,-0.29226640097067036,38572000.0,38565000.0
00:02.2,-2.25066103,-87538485.21408,-0.2980567056271415,-0.29879251093708975,38806000.0,38803550.0
00:02.3,0.07636839000000006,2933684.01569999,0.02717853688933179,0.026864435010048027,38843000.0,38843100.0
00:02.5,-0.06249333999999873,-2585106.2392499447,-0.006960372587887971,-0.007463892406947079,38571000.0,38573650.0
00:02.6,5.477267790000001,215394869.76437992,0.43399794927017726,0.43705718629952295,38895000.0,38957166.666666664
00:02.7,4.45699864,171272629.78503,0.42994298086151983,0.4299084584241108,38544500.0,38487100.0
00:02.8,-0.7434627300000001,-29062070.574179992,-0.23097951092876323,-0.23081229559227837,39121000.0,39119200.0
00:02.9,0.9796397099999998,38331723.20909001,0.19619666275914804,0.19688214338379192,39008500.0,39013450.0
00:03.0,10.13218504,394252166.0013801,0.7916005867643907,0.7915477133949167,38855500.0,38938033.333333336
00:03.2,-2.3607763999999998,-90834108.07112002,-0.2977671849229694,-0.29747215950110145,38516000.0,38519550.0
00:03.3,-1.7557515500000005,-68770203.71985999,-0.4821741718565328,-0.48512137166734004,38854500.0,38855250.0
00:03.4,0.3811529899999999,14939304.607939996,0.1933551839802375,0.19374130782506138,39116500.0,39112700.0
00:03.5,-2.5596839099999995,-98821640.63724,-0.5719041777318747,-0.5715659331477358,38633000.0,38639500.0
00:03.6,8.28046316,323418840.78564996,0.5481478810623656,0.5508036508850946,38841000.0,38764200.0
00:03.7,4.042748060000002,155116056.03332004,0.330832134539711,0.3289248206917263,38712500.0,38636725.0
00:03.8,-0.5898664600000001,-23052923.702969998,-0.17491335692098506,-0.1747475625261238,39121000.0,39119200.0
00:04.0,11.045920810000002,430016474.55526,0.6239189093411237,0.623830709973536,38855500.0,38968200.0
00:04.2,-1.6328294599999997,-62825439.19174,-0.35927824836971195,-0.35857091055762963,38572000.0,38564000.0
00:04.3,-3.208139589999999,-124640481.25836995,-0.39420854037489494,-0.3959625640799288,38806500.0,38728533.333333336
00:04.4,-0.49604701,-19387285.792060003,-0.4534009383906719,-0.4531544109437175,39116500.0,39112700.0
00:04.6,0.14908183000000097,5542072.177340031,0.01588321356632084,0.015308462702571557,38571000.0,38574350.0
00:04.7,5.30268434,208554667.0248,0.4071103904131307,0.41005216299747993,38893000.0,38955800.0
00:04.8,4.627458630000001,177233262.13061008,0.31978238916206164,0.31749198171103643,38736000.0,38644925.0
00:05.0,0.8688174200000001,34013259.27398001,0.17831325292302985,0.17902709216713775,39008500.0,39013450.0
00:05.1,10.04848896,390990462.2106701,0.7908547762368456,0.7908025489421485,38855500.0,38937733.333333336
00:05.3,-3.1053733599999997,-119473373.61107004,-0.3426996169116452,-0.34233255776317073,38516000.0,38519550.0
